title,author,year
1984,George Orwell,1949
To Kill a Mockingbird,Harper Lee,1960
Mistr a Markétka,Michail Bulgakov,1967
Malý princ,Antoine de Saint-Exupéry,1943
Pride and Prejudice,Jane Austen,1813
The Great Gatsby,F. Scott Fitzgerald,1925
Brave New World,Aldous Huxley,1932
The Catcher in the Rye,J.D. Salinger,1951
The Hobbit,J.R.R. Tolkien,1937
Fahrenheit 451,Ray Bradbury,1953
Crime and Punishment,Fyodor Dostoevsky,1866
War and Peace,Leo Tolstoy,1869
The Brothers Karamazov,Fyodor Dostoevsky,1880
Anna Karenina,Leo Tolstoy,1877
Jane Eyre,Charlotte Brontë,1847
Wuthering Heights,Emily Brontë,1847
The Picture of Dorian Gray,Oscar Wilde,1890
Dracula,Bram Stoker,1897
Frankenstein,Mary Shelley,1818
The Odyssey,Homer,-800
The Iliad,Homer,-750
Les Misérables,Victor Hugo,1862
The Count of Monte Cristo,Alexandre Dumas,1844
Don Quixote,Miguel de Cervantes,1605
The Divine Comedy,Dante Alighieri,1320
Hamlet,William Shakespeare,1603
Macbeth,William Shakespeare,1606
Romeo and Juliet,William Shakespeare,1597
The Alchemist,Paulo Coelho,1988
The Little Mermaid,Hans Christian Andersen,1837
The Trial,Franz Kafka,1925
The Castle,Franz Kafka,1926
One Hundred Years of Solitude,Gabriel García Márquez,1967
Love in the Time of Cholera,Gabriel García Márquez,1985
The Old Man and the Sea,Ernest Hemingway,1952
For Whom the Bell Tolls,Ernest Hemingway,1940
A Farewell to Arms,Ernest Hemingway,1929
Slaughterhouse-Five,Kurt Vonnegut,1969
Catch-22,Joseph Heller,1961
The Road,Cormac McCarthy,2006
No Country for Old Men,Cormac McCarthy,2005
The Handmaid's Tale,Margaret Atwood,1985
The Testaments,Margaret Atwood,2019
Dune,Frank Herbert,1965
The Name of the Rose,Umberto Eco,1980
The Stranger,Albert Camus,1942
The Plague,Albert Camus,1947
Lolita,Vladimir Nabokov,1955
The Metamorphosis,Franz Kafka,1915
The Sun Also Rises,Ernest Hemingway,1926